86	268
88	311
89	355
94	399
108	438
137	468
176	490
218	505
260	509
299	507
328	489
352	461
369	431
378	395
385	360
392	326
396	293
137	226
164	205
197	199
229	205
260	220
301	228
328	222
355	223
380	235
391	259
280	251
281	280
282	307
283	336
240	355
257	359
274	364
289	362
303	359
171	254
190	245
210	246
227	259
208	262
187	261
307	268
326	259
345	262
359	275
344	277
324	274
198	398
229	397
254	394
269	399
284	396
303	402
324	407
303	419
284	424
268	424
251	421
227	413
206	400
252	404
268	407
284	406
317	408
285	406
269	407
253	403
